node idx,node anomaly score
4,-3.6350546
5,-4.011
10,-6.0799065
14,-7.288704
15,-4.1806912
20,-5.144953
22,-6.0565176
23,-5.6996555
25,-6.7595563
26,-4.166839
29,-4.74729
30,-3.431008
36,-3.6956587
38,-6.673981
39,-3.7507057
40,-1.1748592
42,-4.8455777
44,-1.5810549
45,-4.3637385
48,-5.7012863
49,-0.63734037
50,-4.5774217
54,-6.1395993
55,-3.926267
59,-5.638653
63,-4.211627
68,-4.0571747
69,-4.1515656
77,-9.134697
78,-6.229778
81,-3.642305
86,-5.7078958
88,-5.352148
95,-4.2773104
100,-3.7888913
103,-10.154943
112,-6.3788767
114,-2.6429608
115,-4.0515428
117,-3.5943208
126,-3.6229813
128,-4.4797955
130,-3.6545413
131,-4.221037
132,-4.268875
133,-4.325169
135,-7.3869295
136,-5.198302
137,-4.9440236
138,-4.172258
139,-4.798714
141,-2.414701
143,-4.7168756
147,-4.4394374
149,-4.0028377
154,-7.840772
158,-4.791614
161,-4.1966367
162,-4.7952404
165,-5.0808487
166,-4.923268
167,-5.9800076
168,-3.8911567
170,-9.2571125
172,-5.2673564
175,-9.18224
177,-8.444195
179,-4.3145003
182,-4.725024
183,-5.558512
184,-5.3241634
185,-2.3689408
186,-11.555465
190,-8.560264
191,-5.6233616
202,-4.370979
208,-4.0570564
210,-3.5309343
212,-5.1984463
213,-3.8515522
218,-8.013642
223,-6.179796
224,-4.9314528
225,-5.3197947
228,-5.1089516
229,-5.6652026
231,-4.648661
236,-6.63301
238,-4.319324
242,-3.7032676
243,-4.0434556
244,-8.7144985
247,-5.8815475
250,-6.0711775
251,-1.8124988
252,-6.5895596
253,-7.649876
254,-6.223844
261,-5.5219913
262,-3.2297225
263,-6.976257
266,-3.8350332
267,-4.892386
269,-4.034349
274,-3.912189
276,-4.29874
286,-5.8140984
287,-5.3924923
290,-6.7105823
291,-4.102646
292,-2.8629007
294,-5.246264
296,-6.505124
300,-1.6690207
301,-6.6133304
303,-5.6352344
304,-7.7418275
305,-4.370381
307,-5.888132
310,-3.942645
311,-5.360483
314,-4.5012703
315,-2.7189684
316,-6.627034
317,-4.952747
319,-4.2526617
320,-7.3404517
321,-4.6883535
324,-7.9205413
325,-4.678728
331,-9.640641
332,-4.6824794
333,-6.2569466
335,-5.6387706
340,-4.233451
342,-4.5326257
343,-2.068539
344,-8.607885
354,-4.066179
359,-4.7295895
360,-4.2429457
362,-4.123425
365,-7.701824
368,-0.017744249
370,-0.95574117
371,-9.564974
376,-5.007381
379,-5.5425954
380,-4.234171
384,-4.492723
390,-9.643479
394,-8.042502
397,-4.385136
401,-7.1469817
403,-5.578617
408,-5.2767453
410,-8.105791
416,-2.9696171
419,-5.2428117
420,-4.4755073
421,-3.4666915
423,-6.9777675
425,-13.0593815
427,-6.2038064
431,-2.9615965
432,-4.227625
434,-7.135948
435,-3.9843807
437,-4.375982
438,-4.6210313
440,-6.9073195
442,-5.9126334
443,-2.554235
451,-4.2960887
457,-5.59153
458,-3.58533
459,-4.446159
462,-5.8108945
465,-4.622965
466,-4.6171293
468,-6.795963
469,-5.1352744
470,-3.9172716
471,-9.182523
473,-12.375708
474,-7.30897
475,-3.9304838
477,-0.32119238
479,-6.677233
482,-6.1502023
483,-5.576046
489,-4.222467
494,-4.0981684
495,-5.2891335
496,-3.5248866
497,-5.5190067
499,-5.377915
504,-3.9045453
505,-6.927943
510,-3.709932
512,-3.719673
515,-6.966173
517,-4.2569213
522,-4.2529707
526,-4.257026
527,-4.824007
532,-4.242114
535,-5.5014153
538,-2.3902514
539,-4.076156
545,-4.8420753
550,-5.5192003
554,-4.8979087
555,-4.3970623
558,-4.993259
560,-4.0661488
564,-6.6395407
566,-5.4745
567,-5.619419
568,-3.3799663
569,-8.919382
570,-5.108128
572,-7.923113
575,-4.8003917
576,-3.6358154
578,-4.20232
583,-4.5563297
586,-4.188089
591,-4.473545
592,-17.844526
597,-6.546844
601,-3.106632
602,-4.72206
604,-4.111677
605,-4.4122853
607,-4.5196958
608,-7.633072
613,-3.5877907
614,-5.416711
615,-6.5738807
618,-5.0775476
621,-5.238478
623,-4.0150514
627,-3.6029074
629,-7.8549128
631,-4.35857
632,-5.4709477
633,-5.390141
636,-4.5789385
637,-5.9907756
639,-5.3089733
640,-3.6995938
646,-6.174054
650,-4.9441953
651,-4.599369
653,-6.135108
654,-5.161255
656,-5.152519
660,-3.7460053
661,-4.616837
664,-5.1491117
665,-4.9478445
667,-7.640056
668,-7.961372
669,-4.252546
670,-5.2939487
671,-2.805321
674,-9.303231
675,-3.7192116
676,-5.739031
677,-5.13256
681,-6.740386
682,-6.908944
686,-5.6307287
690,-3.788682
691,-3.6807811
692,-5.5736094
693,-4.615422
694,-0.13524844
697,-6.546642
698,-5.4254923
702,-4.8500857
707,-4.473044
719,-2.8852875
722,-4.1559496
723,-3.1563897
725,-3.725788
731,-5.6651554
733,-3.8454785
734,-3.798376
736,-3.1750915
738,-4.2382407
740,-4.1701984
741,-5.4922295
743,-7.020428
744,-4.6823974
755,-4.5303383
757,-4.9814653
758,-4.14877
760,-7.1923175
761,-4.3635383
764,-4.9271894
766,-5.2145143
768,-3.668405
769,-3.1854606
770,-9.121376
773,-6.634513
774,-4.105448
777,-9.407066
778,-5.838384
781,-7.161542
785,-5.6071854
787,-4.875578
788,-4.816059
794,-9.468873
795,-5.790811
796,-5.4675107
800,-4.8521285
801,-5.222793
808,-6.8999457
811,-7.353254
812,-5.9159784
813,-5.286643
816,-4.721457
832,-5.5353694
836,-4.4349604
837,-4.37346
839,-6.574168
843,-4.6449456
847,-5.180847
849,-6.419627
850,-6.7079988
853,-3.2062616
854,-5.6623945
856,-6.447457
860,-8.984951
861,-9.887659
862,-3.8737602
864,-4.7114015
865,-5.127636
866,-4.6039166
868,-5.244468
871,-4.313456
872,-5.164041
873,-0.899996
876,-4.8818464
878,-4.3879776
882,-4.2612076
883,-4.9102335
888,-7.465587
891,-4.78252
892,-3.8043518
893,-3.1510153
897,-5.5549994
900,-4.4312463
905,-4.9641476
906,-4.0171022
907,-6.346693
908,-5.5463014
909,-4.117156
910,-9.539611
912,-7.3979993
913,-4.906121
914,-5.588175
917,-4.9590535
919,-4.2789693
920,-4.866817
923,-0.8323336
926,-4.782365
927,-4.7693634
928,-3.3287501
930,-6.956239
935,-7.8096366
937,-7.2217712
939,-5.288836
940,-4.0611243
941,-3.8988771
942,-6.0899916
952,-3.733674
955,-5.0522323
958,-4.4125013
960,-8.946202
961,-4.3734016
962,-4.7276797
965,-4.3503447
967,-11.502765
969,-6.409747
970,-6.872559
972,-4.382628
973,-4.1815333
976,-3.98275
978,-3.7426827
980,-5.5820785
981,-5.6441393
982,-3.78985
986,-0.21174778
987,-6.389967
989,-5.883605
991,-4.2813125
993,-4.839674
995,-3.84542
997,-3.7940242
1000,-4.6085215
1004,-5.4190683
1007,-5.6391444
1008,-6.3798695
1011,-5.8340244
1014,-8.407405
1016,-3.8872132
1023,-7.036598
1024,-5.1862803
1028,-5.650595
1030,-3.9652715
1031,-4.7678814
1032,-3.532626
1033,-5.142459
1035,-6.2154474
1036,-5.352841
1041,-5.737889
1042,-4.5660653
1049,-6.3217864
1050,-5.341608
1051,-9.436648
1055,-5.2345595
1056,-4.605982
1060,-3.682924
1061,-4.081038
1062,-5.2196326
1063,-3.975367
1064,-4.734617
1065,-6.107095
1070,-4.6549306
1071,-6.9471664
1072,-6.570449
1076,-4.3419447
1079,-5.7199845
1080,-5.9052396
1081,-4.406889
1083,-3.668572
1084,-3.6157072
1085,-5.4472966
1088,-4.0877695
1090,-6.6101
1092,-4.073854
1093,-4.5244913
1094,-6.3290734
1098,-4.217091
1100,-0.18112393
1103,-3.5790842
1107,-4.613785
1111,-5.0314426
1114,-4.5329638
1119,-5.6193132
1122,-6.114709
1125,-2.3093128
1126,-4.272881
1128,-7.7075853
1131,-3.629374
1137,-4.840498
1139,-5.955712
1146,-3.7377622
1149,-5.7252846
1152,-5.298487
1153,-4.867874
1156,-6.6197243
1160,-6.1104727
1161,-4.9836655
1162,-4.480749
1163,-4.7213264
1167,-6.2377806
1175,-4.938473
1177,-4.311506
1178,-4.402009
1181,-4.195608
1184,-3.2188027
1186,-4.156253
1187,-3.453967
1188,-12.666784
1192,-4.822388
1195,-0.01281232
1196,-4.720648
1199,-3.6873815
1203,-5.318715
1213,-5.8368826
1214,-6.646003
1217,-4.4916477
1218,-4.256968
1220,-5.186443
1223,-3.5135145
1226,-4.7579923
1234,-3.78816
1240,-4.880419
1241,-7.7346115
1242,-6.451244
1246,-4.5660787
1248,-4.877843
1252,-4.0588875
1253,-3.6259804
1254,-6.6968694
1257,-2.6788611
1259,-5.128408
1263,-4.623364
1267,-3.486838
1272,-5.2234435
1276,-4.83221
1281,-4.0521607
1282,-6.986543
1285,-5.4146824
1287,-3.9622312
1288,-5.1773863
1291,-4.817083
1292,-5.869373
1293,-5.285306
1294,-2.3113196
1296,-6.747961
1298,-4.6312304
1302,-5.4869685
1305,-4.4739566
1308,-4.63481
1314,-5.2593255
1315,-10.315805
1320,-0.5084254
1321,-5.1112447
1325,-4.69306
1326,-2.9321127
1328,-9.236332
1330,-4.9280567
1331,-3.1004937
1332,-4.257859
1333,-6.0547657
1334,-3.4663296
1335,-5.6272655
1336,-4.438805
1337,-5.1678333
1338,-3.8742166
1342,-6.0238905
1343,-5.7540765
1346,-4.0702815
1352,-4.463475
1356,-6.477193
1357,-8.023861
1359,-5.125014
1360,-4.195759
1361,-5.524925
1363,-3.6070604
1366,-3.9690506
1367,-5.5649247
1370,-5.1140347
1374,-4.9415402
1375,-7.0917363
1379,-4.268997
1382,-3.8116593
1388,-5.83338
1392,-4.771397
1393,-4.8039274
1394,-5.129029
1401,-4.9145412
1405,-5.2478623
1407,-5.788367
1408,-4.219118
1409,-7.4333525
1410,-4.5893946
1413,-5.805828
1414,-0.79100513
1415,-4.758752
1417,-5.8781147
1418,-4.9614778
1419,-4.330084
1422,-0.04065463
1427,-6.13389
1428,-4.572159
1432,-5.2645655
1435,-1.2659391
1438,-5.2731667
1442,-4.136838
1443,-5.0986967
1446,-5.9613056
1447,-4.511973
1450,-5.4238534
1451,-5.5583405
1454,-7.787345
1456,-5.3167844
1458,-4.5524087
1462,-5.878699
1465,-6.2752566
1469,-3.5340552
1470,-1.4816564
1471,-7.1802673
1473,-4.8218226
1474,-4.676501
1478,-4.33485
1479,-0.07699552
1486,-5.4994907
1496,-4.9328833
1500,-4.6920047
1503,-4.390754
1511,-4.269029
1516,-4.8680563
1520,-6.711445
1529,-4.614847
1534,-4.6378055
1538,-3.976076
1551,-6.436854
1554,-6.635587
1559,-4.654176
1560,-5.8296113
1562,-4.9938097
1564,-5.7351217
1565,-9.451523
1567,-1.5260098
1570,-3.9596066
1571,-5.0504827
1575,-4.5915403
1580,-1.1853379
1586,-6.7054906
1588,-6.062548
1591,-10.074111
1596,-6.1057596
1598,-5.639489
1599,-4.368702
1602,-5.6783147
1605,-4.0119414
1606,-4.002878
1607,-5.253204
1611,-6.2133026
1613,-5.3477407
1615,-6.213141
1616,-4.303586
1619,-5.1195006
1622,-7.802014
1624,-4.4229326
1626,-5.8305583
1632,-4.041478
1634,-5.1274433
1636,-4.5421033
1637,-4.780221
1639,-6.834281
1640,-9.371591
1641,-5.3270516
1642,-7.8058276
1645,-4.4810004
1647,-5.5292683
1648,-4.852631
1649,-4.5277486
1652,-6.414131
1657,-3.9690716
1666,-4.43955
1668,-6.1153903
1673,-5.244673
1674,-6.045181
1676,-4.2196083
1681,-13.320516
1693,-6.87273
1694,-6.6606
1695,-5.045872
1697,-3.9593275
1698,-5.10122
1699,-5.063427
1702,-6.272603
1707,-5.4445043
1709,-7.3339753
1710,-3.8214986
1711,-5.61949
1714,-3.5888765
1718,-5.4885397
1721,-3.9297633
1722,-5.446181
1723,-4.697894
1728,-5.139947
1730,-4.149253
1733,-0.7363212
1736,-4.114642
1737,-4.3051667
1739,-4.3234115
1762,-4.258166
1764,-4.972341
1765,-5.9135227
1766,-4.341561
1767,-5.6914196
1770,-5.4400663
1774,-4.580852
1775,-5.461826
1777,-3.456033
1780,-8.572648
1784,-4.008573
1787,-4.754121
1789,-5.1791143
1794,-3.5749364
1795,-4.2085156
1796,-7.2182655
1799,-4.170406
1800,-4.073188
