node idx,node anomaly score
4,-3.4995134
5,-3.7707758
10,-5.5227337
14,-7.2973294
15,-4.1342373
20,-4.759144
22,-5.613356
23,-5.3811884
25,-6.1242995
26,-3.9512985
29,-4.413457
30,-3.3021147
36,-3.5786877
38,-6.5036373
39,-3.8207312
40,-1.1439744
42,-4.7225857
44,-1.4848555
45,-4.3366284
48,-5.425485
49,-0.59722584
50,-4.6871786
54,-6.174527
55,-3.9283876
59,-5.4488106
63,-4.0914826
68,-4.231238
69,-4.1034513
77,-8.519126
78,-5.793051
81,-3.5757258
86,-5.3355374
88,-5.1714034
95,-4.276922
100,-3.8758442
103,-7.7960906
112,-7.065481
114,-2.6926153
115,-4.0269876
117,-3.7245712
126,-3.4830976
128,-4.371208
130,-3.5290122
131,-4.165213
132,-4.194133
133,-4.2620854
135,-6.629771
136,-5.2419715
137,-5.2898054
138,-4.1388364
139,-4.761612
141,-2.3426495
143,-4.660421
147,-4.399903
149,-4.0756097
154,-6.881358
158,-4.3544126
161,-4.4220505
162,-5.42486
165,-5.2720075
166,-4.765478
167,-5.628069
168,-3.7007818
170,-9.493291
172,-4.9584775
175,-8.455474
177,-7.766625
179,-4.2880898
182,-4.3747764
183,-5.5168858
184,-5.0527077
185,-2.4838016
186,-9.818448
190,-9.717994
191,-5.2827945
202,-4.2938085
208,-3.9569633
210,-3.254786
212,-4.92256
213,-3.6488996
218,-8.717913
223,-6.1815968
224,-4.8307304
225,-5.3846097
228,-4.831026
229,-5.693857
231,-4.5484457
236,-6.062743
238,-4.3032928
242,-3.6738768
243,-4.022329
244,-8.072707
247,-5.7494855
250,-5.9092083
251,-1.8937166
252,-6.412297
253,-7.341551
254,-6.2975845
261,-5.447527
262,-3.1153607
263,-6.7769914
266,-3.6757526
267,-4.6562233
269,-3.9094443
274,-3.9395642
276,-4.2125907
286,-5.693333
287,-5.081904
290,-6.730115
291,-4.0686083
292,-2.8181841
294,-4.952215
296,-6.395403
300,-1.9288225
301,-5.631238
303,-5.8326902
304,-7.548188
305,-4.333752
307,-5.3486514
310,-3.7314513
311,-5.02383
